epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.025,0.99756,3.15685,1.33564,0.00433,1,0.35595,0.26952,0.80317,3.36095,1.2359,0.00018887,0.00018887,0.00018887
2,548.08,1.06491,2.37337,1.39261,0.59485,0.6961,0.64591,0.46945,0.88848,2.95205,1.28292,0.000381151,0.000381151,0.000381151
3,821.89,1.05028,1.72205,1.37143,0.73148,0.5908,0.70707,0.49201,1.12011,2.18933,1.58808,0.000565512,0.000565512,0.000565512
4,1052.29,1.03197,1.50615,1.34042,0.6963,0.50293,0.72731,0.48725,1.12143,2.50658,1.4906,0.000741955,0.000741955,0.000741955
5,1245.67,1.00255,1.38744,1.28777,0.64022,0.7641,0.76388,0.45694,1.362,2.18406,1.72755,0.000910478,0.000910478,0.000910478
6,1368.67,1.07409,1.35065,1.31383,0.69606,0.81394,0.84519,0.5348,1.29624,2.22789,1.75495,0.00100101,0.00100101,0.00100101
7,1486.35,1.06778,1.29288,1.31281,0.76702,0.78262,0.85204,0.54754,1.20124,1.91477,1.61316,0.000979013,0.000979013,0.000979013
8,1615.55,1.002,1.21148,1.29164,0.84505,0.83918,0.93649,0.59691,1.20594,1.55439,1.60339,0.000957015,0.000957015,0.000957015
9,1748.24,1.07298,1.2235,1.31123,0.82096,0.76857,0.83874,0.57143,1.15259,1.60067,1.5569,0.000935018,0.000935018,0.000935018
10,1888.99,1.02698,1.16173,1.29214,0.69197,0.83522,0.74975,0.52394,1.06623,1.6101,1.44426,0.00091302,0.00091302,0.00091302
11,2041.02,0.98056,1.09214,1.25653,0.77776,0.74823,0.77043,0.51731,1.08011,1.70621,1.5121,0.000891022,0.000891022,0.000891022
12,2200.08,0.95565,1.03734,1.24064,0.64188,0.80668,0.82523,0.48469,1.29499,1.96836,1.80978,0.000869024,0.000869024,0.000869024
13,2338.23,0.95643,1.03119,1.21679,0.83657,0.84854,0.90071,0.42617,1.54716,1.77958,2.02649,0.000847026,0.000847026,0.000847026
14,2455.08,0.93902,0.94399,1.23315,0.77929,0.7487,0.86004,0.55891,1.21026,1.74258,1.58653,0.000825029,0.000825029,0.000825029
15,2565.77,0.94892,0.90417,1.22278,0.9149,0.89112,0.97716,0.6413,1.08223,1.08518,1.42037,0.000803031,0.000803031,0.000803031
16,2671.93,0.93966,0.88588,1.22016,0.92771,0.77333,0.88837,0.60968,1.14253,1.31524,1.4776,0.000781033,0.000781033,0.000781033
17,2778.15,0.89602,0.82927,1.19174,0.86188,0.94476,0.96727,0.63808,1.14807,1.30944,1.44161,0.000759035,0.000759035,0.000759035
18,2891.56,0.91663,0.85388,1.21997,0.79849,0.91429,0.93363,0.65841,1.05592,1.05456,1.41862,0.000737037,0.000737037,0.000737037
19,3006.44,0.85842,0.82644,1.19496,0.89839,0.90764,0.9609,0.66878,1.15641,1.05579,1.46647,0.00071504,0.00071504,0.00071504
20,3107.07,0.86093,0.78125,1.17887,0.8793,0.91405,0.94821,0.67222,1.02703,0.86924,1.3716,0.000693042,0.000693042,0.000693042
21,3213.39,0.86038,0.79236,1.17135,0.91448,0.90162,0.96896,0.68218,1.02791,0.96769,1.38216,0.000671044,0.000671044,0.000671044
22,3327.3,0.8535,0.73958,1.15642,0.92785,0.94743,0.97776,0.70452,1.001,0.85965,1.38233,0.000649046,0.000649046,0.000649046
23,3440.46,0.84677,0.70627,1.15014,0.98991,0.98648,0.995,0.75119,0.95021,0.74074,1.3231,0.000627048,0.000627048,0.000627048
24,3555.52,0.83631,0.72029,1.15905,0.93305,0.95544,0.99425,0.70862,1.03052,0.8235,1.37933,0.000605051,0.000605051,0.000605051
25,3671.96,0.92287,0.79375,1.23167,0.96317,0.93143,0.9768,0.69978,1.04217,0.78265,1.36501,0.000583053,0.000583053,0.000583053
26,3785.39,0.85625,0.69546,1.16518,0.93589,0.97143,0.96706,0.7138,0.99077,0.78154,1.37216,0.000561055,0.000561055,0.000561055
27,3934.85,0.79258,0.6496,1.13519,0.96927,0.91236,0.9821,0.71483,1.00379,0.71797,1.34808,0.000539057,0.000539057,0.000539057
28,4070.01,0.81373,0.66007,1.16786,0.96631,0.96703,0.9851,0.7487,0.94217,0.72132,1.30262,0.000517059,0.000517059,0.000517059
29,4163.01,0.8002,0.66625,1.1436,0.87517,0.99178,0.98182,0.72638,0.98865,0.7362,1.3354,0.000495062,0.000495062,0.000495062
30,4255.7,0.80386,0.67366,1.13685,0.92332,0.90476,0.9695,0.70525,0.97278,0.76661,1.34621,0.000473064,0.000473064,0.000473064
31,4348.28,0.79784,0.62664,1.14756,0.93298,0.89171,0.97567,0.68039,1.0163,0.7503,1.37064,0.000451066,0.000451066,0.000451066
32,4441.87,0.77616,0.66039,1.16062,0.94672,0.99479,0.9925,0.75009,0.96792,0.64544,1.33194,0.000429068,0.000429068,0.000429068
33,4533.98,0.7255,0.58061,1.08247,0.97858,0.97143,0.9915,0.69802,1.04809,0.66371,1.42232,0.00040707,0.00040707,0.00040707
34,4625.18,0.71622,0.58228,1.10174,0.98903,1,0.995,0.73306,0.96719,0.6162,1.34833,0.000385073,0.000385073,0.000385073
35,4716.02,0.7556,0.5897,1.1139,0.98181,1,0.995,0.72632,0.98461,0.63841,1.35877,0.000363075,0.000363075,0.000363075
36,4807.74,0.75129,0.59092,1.12676,0.99151,0.98788,0.995,0.70165,1.0573,0.60493,1.4631,0.000341077,0.000341077,0.000341077
37,4899.75,0.68301,0.53935,1.06826,0.97401,0.9812,0.995,0.72311,1.00767,0.61885,1.42352,0.000319079,0.000319079,0.000319079
38,4999.78,0.71033,0.5355,1.09778,0.96723,0.99391,0.9935,0.73275,0.97313,0.58392,1.37258,0.000297081,0.000297081,0.000297081
39,5090.93,0.69154,0.55874,1.07381,0.99246,0.9986,0.995,0.74659,0.96764,0.58291,1.34962,0.000275084,0.000275084,0.000275084
40,5182.16,0.66302,0.51607,1.05462,0.9929,0.99515,0.995,0.74701,0.97425,0.56996,1.35874,0.000253086,0.000253086,0.000253086
41,5273.37,0.60979,0.68551,1.04309,0.98803,0.99636,0.995,0.737,0.98762,0.64442,1.39368,0.000231088,0.000231088,0.000231088
42,5364.11,0.62433,0.67858,1.08237,0.96769,0.97617,0.995,0.74542,0.97474,0.62911,1.38257,0.00020909,0.00020909,0.00020909
43,5455.17,0.59859,0.58997,1.0733,0.97358,0.97143,0.9915,0.72845,0.99108,0.6218,1.40449,0.000187092,0.000187092,0.000187092
44,5546.15,0.56539,0.5535,1.02078,0.98919,0.98838,0.995,0.72759,1.00858,0.61582,1.43308,0.000165095,0.000165095,0.000165095
45,5652.35,0.56061,0.55484,1.02141,0.97805,0.99774,0.995,0.71078,1.04776,0.63658,1.45242,0.000143097,0.000143097,0.000143097
46,5749.08,0.51003,0.52663,0.98561,0.97312,0.99919,0.995,0.73034,1.01559,0.59743,1.43957,0.000121099,0.000121099,0.000121099
47,5841.25,0.51666,0.51602,1.01422,0.98575,0.99575,0.995,0.74606,0.98764,0.5781,1.41225,9.91012e-05,9.91012e-05,9.91012e-05
48,5938.58,0.51941,0.53591,0.96252,0.98548,0.99123,0.995,0.73669,1.0002,0.57279,1.42674,7.71034e-05,7.71034e-05,7.71034e-05
49,6029.34,0.50479,0.5023,0.97174,0.98285,0.98859,0.995,0.73969,0.99522,0.57207,1.42465,5.51056e-05,5.51056e-05,5.51056e-05
50,6120.39,0.5043,0.52545,0.99825,0.98176,0.98432,0.995,0.74589,0.99552,0.56227,1.42641,3.31078e-05,3.31078e-05,3.31078e-05
