epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3114,1.39713,3.6248,1.63234,0.01412,1,0.39677,0.17475,1.48867,3.8144,1.84035,1.111e-05,1.111e-05,1.111e-05
2,23.899,1.2708,3.64804,1.52716,0.01439,1,0.47268,0.22443,1.38101,3.76997,1.69721,3.26701e-05,3.26701e-05,3.26701e-05
3,34.478,1.21324,3.47591,1.45877,0.01554,1,0.48847,0.25645,1.29771,3.72104,1.66763,5.33502e-05,5.33502e-05,5.33502e-05
4,43.2579,1.14479,3.26828,1.39381,0.01935,1,0.84452,0.52115,1.22086,3.73444,1.60212,7.31505e-05,7.31505e-05,7.31505e-05
5,52.3992,1.28651,3.09627,1.55577,0.02913,1,0.995,0.47676,1.15561,3.65949,1.5745,9.20708e-05,9.20708e-05,9.20708e-05
6,62.0021,1.10503,2.70824,1.40474,0.04918,1,0.995,0.51478,1.11855,3.5844,1.53589,0.000110111,0.000110111,0.000110111
7,72.3808,1.2707,2.33607,1.44163,0.08571,1,0.995,0.5817,1.10628,3.44772,1.524,0.000127272,0.000127272,0.000127272
8,84.2587,1.1027,1.87013,1.36799,0.09524,1,0.995,0.57885,1.20054,3.1775,1.66605,0.000143552,0.000143552,0.000143552
9,96.8874,1.07272,1.48358,1.29312,0.10526,1,0.995,0.58279,1.2978,3.05138,1.73649,0.000158953,0.000158953,0.000158953
10,107.505,1.0018,1.442,1.31506,0.1,1,0.995,0.58466,1.30418,2.95244,1.70066,0.000173474,0.000173474,0.000173474
11,118.007,1.21791,1.35488,1.45859,0.86996,1,0.995,0.59818,1.31653,2.87386,1.64612,0.000187115,0.000187115,0.000187115
12,128.1,1.06568,1.28528,1.25274,0.85211,1,0.97214,0.5884,1.29078,2.92533,1.58317,0.000199876,0.000199876,0.000199876
13,141.174,1.22204,1.37869,1.4766,0.71388,1,0.97214,0.59738,1.19908,2.97836,1.49515,0.000211757,0.000211757,0.000211757
14,152.471,1.02728,1.26412,1.25422,0.08696,1,0.995,0.59902,1.22189,3.04322,1.4962,0.000222758,0.000222758,0.000222758
15,160.572,1.10684,1.23977,1.36055,0.07692,1,0.995,0.56924,1.27782,3.07622,1.51734,0.000232879,0.000232879,0.000232879
16,168.613,1.01127,1.29089,1.30574,0.10169,1,0.995,0.65457,1.26899,3.10675,1.50318,0.00024212,0.00024212,0.00024212
17,176.66,1.05353,1.25711,1.24421,0.78056,1,0.995,0.68478,1.35887,3.04841,1.55636,0.000250482,0.000250482,0.000250482
18,184.371,0.98176,1.1949,1.20437,1,0.76381,0.995,0.65683,1.35833,2.94025,1.54278,0.000257963,0.000257963,0.000257963
19,192.343,1.04749,1.18701,1.19929,1,0.65395,0.995,0.68532,1.20968,2.7342,1.4353,0.000264565,0.000264565,0.000264565
